# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Aug  6 11:46:19 2023
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN elat:           Ecliptic Latitude [deg]
#
loc_rowid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,elat
1,11 Com b,11 Com,326.03000000,1.290000,0.231000,18.33392
2,11 UMi b,11 UMi,516.21997000,1.530000,0.080000,74.95821
3,14 And b,14 And,185.84000000,0.830000,0.000000,38.22901
4,14 Her b,14 Her,1765.03890000,2.774000,0.373000,62.87885
5,16 Cyg B b,16 Cyg B,798.50000000,1.660000,0.680000,69.46803
6,17 Sco b,17 Sco,578.38000000,1.450000,0.060000,9.21181
7,18 Del b,18 Del,993.30000000,2.600000,0.080000,26.78678
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.000000,,-0.06852
9,24 Boo b,24 Boo,30.35060000,0.190000,0.042000,58.88795
10,24 Sex b,24 Sex,452.80000000,1.333000,0.090000,-10.19818
11,24 Sex c,24 Sex,883.00000000,2.080000,0.290000,-10.19818
12,2M0437 b,2MASS J04372171+2651014,,118.000000,,4.72193
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.000000,,-54.69414
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.000000,,-30.71197
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.000000,,-49.30514
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.000000,,0.80236
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,,55.000000,,-35.03506
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.00000000,0.920000,0.330000,65.72534
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.000000,,50.85330
20,30 Ari B b,30 Ari B,335.10001000,0.990000,0.290000,8.85457
21,4 UMa b,4 UMa,269.30000000,0.870000,0.432000,44.02809
22,42 Dra b,42 Dra,479.10000000,1.190000,0.380000,87.18291
23,47 UMa b,47 UMa,1078.00000000,2.100000,0.032000,31.06122
24,47 UMa c,47 UMa,2391.00000000,3.600000,0.098000,31.06122
25,47 UMa d,47 UMa,14002.00000000,11.600000,0.160000,31.06122
26,51 Eri b,51 Eri,11688.00000000,13.200000,0.450000,-24.30532
27,51 Peg b,51 Peg,4.23078500,0.052700,0.013000,25.18633
28,55 Cnc b,55 Cnc,14.65160000,0.113400,0.000000,10.36555
29,55 Cnc c,55 Cnc,44.39890000,0.237300,0.030000,10.36555
30,55 Cnc d,55 Cnc,5574.20000000,5.957000,0.130000,10.36555
31,55 Cnc e,55 Cnc,0.73654740,0.015440,0.050000,10.36555
32,55 Cnc f,55 Cnc,259.88000000,0.770800,0.080000,10.36555
33,6 Lyn b,6 Lyn,934.30000000,2.110000,0.073000,34.85376
34,61 Vir b,61 Vir,4.21500000,0.050201,0.120000,-9.30380
35,61 Vir c,61 Vir,38.02100000,0.217500,0.140000,-9.30380
36,61 Vir d,61 Vir,123.01000000,0.476000,0.350000,-9.30380
37,7 CMa b,7 CMa,735.10000000,1.758000,0.060000,-42.32234
38,7 CMa c,7 CMa,996.00000000,2.153000,0.080000,-42.32234
39,70 Vir b,70 Vir,116.68800000,0.481000,0.398800,21.33810
40,75 Cet b,75 Cet,691.90000000,2.100000,0.117000,-15.16759
41,8 UMi b,8 UMi,93.40000000,0.490000,0.060000,73.34497
42,81 Cet b,81 Cet,952.70000000,2.500000,0.206000,-17.84979
43,91 Aqr b,91 Aqr,181.40000000,0.700000,0.027000,-4.00228
44,AB Aur b,AB Aur,,93.900000,0.400000,7.88431
45,AB Pic b,AB Pic,,260.000000,,-81.21165
46,AF Lep b,AF Lep,8030.00000000,8.400000,0.240000,-35.05939
47,AU Mic b,AU Mic,8.46299910,0.064500,0.186000,-12.82465
48,AU Mic c,AU Mic,18.85899100,0.110100,0.041000,-12.82465
49,BD+03 2562 b,BD+03 2562,481.90000000,1.300000,0.200000,1.56429
50,BD+14 4559 b,BD+14 4559,268.94000000,0.780000,0.290000,29.21653
51,BD+15 2375 b,BD+15 2375,153.22000000,0.576000,0.001000,11.99953
52,BD+15 2940 b,BD+15 2940,137.48000000,0.539000,0.260000,35.31759
53,BD+20 2457 b,BD+20 2457,379.63000000,1.450000,0.150000,8.58559
54,BD+20 2457 c,BD+20 2457,621.99000000,2.010000,0.180000,8.58559
55,BD+20 274 b,BD+20 274,578.20000000,1.300000,0.210000,9.58745
56,BD+20 594 b,BD+20 594,41.68550000,0.241000,0.000000,1.31208
57,BD+45 564 b,BD+45 564,307.88000000,0.830000,0.120000,30.57409
58,BD+48 738 b,BD+48 738,392.60000000,1.000000,0.200000,32.03021
59,BD+48 740 b,BD+48 740,733.00000000,1.700000,0.760000,31.40850
60,BD+49 828 b,BD+49 828,2590.00000000,4.200000,0.350000,31.07852
61,BD+55 362 b,BD+55 362,265.59000000,0.780000,0.270000,42.69678
62,BD+60 1417 b,BD+60 1417,,1662.000000,,56.32829
63,BD+63 1405 b,BD+63 1405,1198.48000000,2.060000,0.880000,87.05023
64,BD-00 4475 b,BD-00 4475,723.20000000,1.480000,0.390000,5.23294
65,BD-06 1339 b,BD-06 1339,3.87280000,0.042800,0.000000,-29.42350
66,BD-06 1339 c,BD-06 1339,125.94000000,0.435000,0.310000,-29.42350
67,BD-08 2823 b,BD-08 2823,5.60000000,0.060000,0.150000,-20.28382
68,BD-08 2823 c,BD-08 2823,237.60000000,0.680000,0.190000,-20.28382
69,BD-10 3166 b,BD-10 3166,3.48777000,0.040000,0.020000,-15.96792
